ZUG,'Fahrzeug auf Schienen'
BUS,'grosses Strassenfahrzeug'
ORT,'bestimmter Platz'
WEG,'Strecke von A nach B'
TAG,'Zeitraum mit Helligkeit'
MEER,'grosses Salzwasser'
SEE,'Wasserflaeche im Inland'
RAD,'Fahrzeug mit Pedalen'
BAR,'Lokal fuer Getraenke'
PASS,'offizielles Reisedokument'
GELD,'allgemeines Zahlungsmittel'
EURO,'europaeische Waehrung'
ZIEL,'Endpunkt einer Reise'
PARK,'staedtische Gruenanlage'
HAFEN,'Anlegeplatz fuer Schiffe'
FLUG,'Reise durch die Luft'
AUTO,'privates Kraftfahrzeug'
TAXI,'Mietwagen mit Fahrer'
BAHN,'Kurzform fuer Eisenbahn'
REISE,'Fahrt an anderen Ort'
HOTEL,'Haus fuer Uebernachtungen'
KOFFER,'Behaelter fuer Reisegepaeck'
TICKET,'gueltige Fahrkarte'
STRAND,'Sandflaeche am Meer'
URLAUB,'bezahlte arbeitsfreie Zeit'
SONNE,'Stern unseres Systems'
STADT,'grosse bewohnte Siedlung'
GRUPPE,'Ansammlung von Personen'
FAMILIE,'engste Verwandtschaft'
FREMD,'nicht bekannt'
TANKEN,'Fahrzeug mit Treibstoff fuellen'
BUCHEN,'Reise fest reservieren'
WARTEN,'Zeit verstreichen lassen'
FLIEGEN,'sich durch Luft bewegen'
ANRUFEN,'telefonisch kontaktieren'
FRAGEN,'Informationen erbitten'
PROBLEM,'unerwartete Schwierigkeit'
SCHIFF,'grosses Wasserfahrzeug'
STRASSE,'befestigter Verkehrsweg'
KUESTE,'Linie zwischen Land und Meer'
INSEL,'Land von Wasser umgeben'
BRUECKE,'Bauwerk ueber Hindernis'
BERGE,'hohe Landerhebungen'
WOLKE,'Wasseransammlung am Himmel'
REGEN,'fallendes Wasser vom Himmel'
TRINKEN,'Fluessigkeit aufnehmen'
SCHOEN,'sehr ansprechend'
TEUER,'mit hohem Preis'
BILLIG,'mit niedrigem Preis'
LANGSAM,'mit geringer Geschwindigkeit'
SCHNELL,'mit hoher Geschwindigkeit'
ABFAHRT,'Beginn einer Fahrt'
FLUGZEUG,'motorisiertes Luftfahrzeug'
FLUGHAFEN,'Startplatz fuer Flugzeuge'
BAHNHOF,'Haltepunkt fuer Zuege'
RESTAURANT,'Lokal zum Speisen'
GEPAECK,'mitgenommene Reisegegenstaende'
AUSFLUG,'kurze Vergnuegungsreise'
RESERVIEREN,'Platz freihalten lassen'
INFORMATION,'wichtige Auskunft'
FAHRKARTE,'Erlaubnis zur Mitfahrt'
HALTESTELLE,'Wartepunkt fuer Bus'
SPAZIERGANG,'Gehen zur Erholung'
UNTERKUNFT,'Platz zum Uebernachten'
SEHENSWUERDIGKEIT,'interessanter besuchter Ort'
REISEFUEHRER,'Buch mit Reisetipps'
AUSKUNFT,'erfragte Information'
ANKUNFT,'Erreichen des Ziels'
UEBERNACHTEN,'eine Nacht verbringen'
BESICHTIGEN,'etwas genau ansehen'
FOTOGRAFIEREN,'Bilder mit Kamera machen'
FRUEHSTUECK,'erste Mahlzeit des Tages'
ABENDESSEN,'letzte Mahlzeit des Tages'
MITTAGESSEN,'Mahlzeit zur Tagesmitte'
REISEBUERO,'Geschaeft fuer Urlaubsplanung'
AUTOBAHN,'Schnellstrasse fuer Autos'
FAHRPLAN,'Uebersicht der Abfahrtszeiten'
ZENTRUM,'Mittelpunkt der Stadt'
GASTHAUS,'einfache Unterkunft mit Essen'
JUGENDHERBERGE,'guenstige Unterkunft fuer Junge'
RECHNUNG,'schriftliche Zahlungsaufforderung'
SCHLUESSEL,'Gegenstand zum Oeffnen'
SPAZIEREN,'langsam zur Erholung gehen'
WANDERN,'laengere Strecke zu Fuss gehen'
BESUCHEN,'zu jemandem hingehen'
ANKOMMEN,'am Ziel eintreffen'
ABFLIEGEN,'mit Flugzeug starten'
