SPITZ,'mit scharfer Spitze'
SCHREI,'sehr lauter Ruf'
BLICK,'kurzes Sehen'
LAERM,'störendes Geräusch'
DRUCK,'Kraft auf Fläche'
GLANZ,'helles Spiegeln'
AROMA,'Duft von Essen'
TASTEN,'mit Fingern fühlen'
SPUEREN,'etwas fühlen'
HOREN,'mit Ohren wahrnehmen'
BEMERKEN,'etwas wahrnehmen'
GESTANK,'schlechter Geruch'
EINDRUCK,'erste Empfindung'
VERGLEICH,'Unterschiede finden'
REALITAET,'was wirklich ist'
INSTINKT,'angeborenes Gefühl'
BLINZELN,'Augen kurz schließen'
BERUEHRUNG,'Kontakt mit Haut'
WAHRNEHMUNG,'Aufnahme durch Sinne'
EMPFINDUNG,'starkes Gefühl'
ERINNERUNG,'Gedanke an Früher'
AUFMERKSAM,'sehr konzentriert'
PHANTASIE,'Kraft der Vorstellung'
ANGENEHM,'sich gut anfühlend'
BEWUSSTSEIN,'Zustand des Wissens'
KONZENTRIERT,'sehr aufmerksam'
ERSCHEINUNG,'sichtbare Gestalt'
AUSDRUCK,'Zeichen von Gefühl'
PERSPEKTIVE,'persönlicher Blickwinkel'
INTUITION,'Gefühl aus Bauch'
GEWOHNHEIT,'was man immer tut'
INTERPRETATION,'persönliche Erklärung'
REFLEXION,'tiefes Nachdenken'
