PIN,'persönliche Nummer'
ZOLL,'Abgabe für Waren'
CODE,'geheime Zeichenfolge'
ZINS,'Extra-Geld von Bank'
BITTE,'höfliche Aufforderung'
DANKE,'Ausdruck von Dankbarkeit'
HERR,'männliche Anrede'
PAKET,'größere Postsendung'
MARKE,'Klebebild für Porto'
KONTO,'Geldlager bei der Bank'
KREDIT,'geliehenes Geld'
OFFEN,'nicht geschlossen'
SCHECK,'schriftliche Zahlungsanweisung'
SUMME,'gesamter Geldbetrag'
ONLINE,'über das Internet'
STEMPEL,'offizieller Abdruck'
PORTO,'Gebühr für einen Brief'
EMPFANG,'Annahme einer Sendung'
VERSAND,'das Wegschicken'
BERATER,'Person die Ratschläge gibt'
SICHER,'ohne Gefahr'
GEHEIM,'nicht öffentlich'
MUENZE,'rundes Geldstück'
FILIALE,'Zweigstelle einer Bank'
WEBSITE,'Seite im Internet'
SENDEN,'etwas auf den Weg bringen'
ZINSEN,'Gewinn aus Kapital'
GUELTIG,'noch verwendbar'
BARGELD,'Geld zum Anfassen'
UEBERWEISEN,'Geld elektronisch senden'
ABHEBEN,'Bargeld vom Konto holen'
EINZAHLEN,'Bargeld aufs Konto bringen'
GEHEIMZAHL,'persönlicher Sicherheitscode'
POSTKARTE,'Gruß ohne Umschlag'
UMSCHLAG,'Papierhülle für Brief'
ABSENDER,'Person die etwas sendet'
EMPFAENGER,'Person die etwas bekommt'
BRIEFKASTEN,'Behälter für die Post'
POSTAMT,'Gebäude der Post'
FORMULAR,'Dokument zum Ausfüllen'
UNTERSCHREIBEN,'Namen als Bestätigung schreiben'
GESCHLOSSEN,'nicht geöffnet'
DAUERAUFTRAG,'regelmäßige Überweisung'
BRIEFTRAEGER,'Person die Post bringt'
UNTERSCHRIFT,'persönlich geschriebener Name'
AUSFUELLEN,'Formular beschriften'
BANKNOTE,'Schein aus Papiergeld'
SPARKASSE,'öffentliches Geldinstitut'
INTERNET,'weltweites Datennetz'
KONTOAUSZUG,'Liste der Kontobewegungen'
GEBUEHR,'Kosten für eine Leistung'
BETRAG,'bestimmte Geldsumme'
