ABNEIGUNG,'starkes Nichtmoegen'
AERGERN,'Wut empfinden'
ALLEIN,'ohne andere'
AUFREGUNG,'nervoese Spannung'
BANG,'voller Angst'
BEGEISTERT,'voller Enthusiasmus'
BEGEISTERUNG,'grosser Enthusiasmus'
BESORGT,'voller Sorge'
BEWUNDERUNG,'grosser Respekt'
BOESE,'sehr wuetend'
DENKEN,'Gedanken haben'
EHRLICH,'Wahrheit sagend'
EIFERSUCHT,'Angst vor Verlust'
EINSAM,'sich allein fuehlend'
ENTTAEUSCHT,'Hoffnung verloren'
ENTTAEUSCHUNG,'verlorene Hoffnung'
ERLEICHTERUNG,'Ende einer Sorge'
ERSCHOEPFUNG,'starke Muedigkeit'
ERSCHROCKEN,'ploetzlich veraengstigt'
FRECH,'respektlos lustig'
FREUDE,'positives Gefuehl'
FREUEN,'Glueck empfinden'
FROH,'sehr heiter'
FROHSINN,'heitere Stimmung'
GELASSENHEIT,'innere Ruhe'
GLUECK,'Zustand der Freude'
GLUECKLICH,'voller Freude'
GRINSEN,'breit laecheln'
HEULEN,'laut weinen'
HOFFEN,'zuversichtlich erwarten'
INTERESSIERT,'mit Aufmerksamkeit dabei'
JUBELN,'laut Freude zeigen'
KLAGEN,'Leid aussprechen'
KUMMER,'langer Seelenschmerz'
KUSS,'Zeichen der Zuneigung'
LACHEN,'Freude hoerbar zeigen'
LANGWEILE,'Gefuehl ohne Interesse'
LAUNE,'momentane Stimmung'
LEBENSFREUDE,'Glueck am Dasein'
LEID,'tiefer Schmerz'
LIEB,'herzlich und gut'
LIEBEN,'Zuneigung empfinden'
LOB,'positive Anerkennung'
LOBEN,'Anerkennung aussprechen'
LUST,'starkes Verlangen'
MISSTRAUEN,'fehlendes Vertrauen'
MITGEFUEHL,'Leid mitempfinden'
MUEDE,'braucht Schlaf'
MUT,'Gefuehl ohne Angst'
MUTIG,'ohne Furcht'
NACHDENKLICH,'in Gedanken versunken'
NEID,'Gefuehl der Missgunst'
NERVOES,'innerlich unruhig'
NETT,'freundlich gesinnt'
PANIK,'ploetzliche Angst'
PECH,'Gegenteil von Glueck'
RUHE,'Zustand ohne Laerm'
RUHIG,'entspannt sein'
SCHMERZ,'unangenehmes Gefuehl'
SCHWACH,'wenig Kraft habend'
SORGE,'beunruhigender Gedanke'
SPASS,'grosse Freude'
STARK,'viel Kraft habend'
STAUNEN,'sich sehr wundern'
STOLZ,'mit sich zufrieden'
STRESS,'hohe Belastung'
STUR,'sehr eigensinnig'
TANZEN,'zu Musik bewegen'
TRAENE,'Wasser aus Auge'
TRAURIG,'nicht gluecklich'
UEBERRASCHT,'unerwartet getroffen'
UEBERRASCHUNG,'unerwartetes Ereignis'
UNGEDULD,'fehlende Geduld'
UNGLUECKLICH,'sehr traurig'
VERAERGERT,'stark irritiert'
VERGNUEGEN,'grosser Spass'
VERLIEBT,'starke Zuneigung fuehlend'
VERTRAUEN,'fester Glaube'
VERWUNDERUNG,'grosses Staunen'
VERZWEIFELT,'ohne Hoffnung'
WEH,'koerperlicher Schmerz'
WEINEN,'Traenen vergiessen'
WILD,'sehr ungestuem'
WUETEND,'sehr zornig'
WUT,'starker Zorn'
ZUFRIEDEN,'mit Zustand einverstanden'
ZUNEIGUNG,'warmes Gefuehl'
