ATMEN,'Luft einziehen'
APOTHEKE,'Geschaeft fuer Medikamente'
AUGENBRAUE,'Haare ueber Auge'
BAUCH,'vorderer Rumpfteil'
BAUCHWEH,'Schmerz im Bauch'
BLUTDRUCK,'Kraft des Blutes'
DICK,'nicht duenn'
DUENN,'nicht dick'
DURCHFALL,'fluessiger Stuhlgang'
ERSCHOEPFT,'sehr sehr muede'
ELLENBOGEN,'Gelenk in Armmitte'
ERNAEHRUNG,'Art zu essen'
FUSS,'unter dem Bein'
FINGER,'Teil der Hand'
FIEBER,'erhoehte Koerpertemperatur'
HALS,'verbindet Kopf und Koerper'
HERZ,'pumpt Blut'
HUSTEN,'Reaktion bei Erkaeltung'
HALSSCHMERZ,'unangenehmes Halsgefuehl'
IMPFUNG,'Schutz vor Krankheit'
KNIE,'Gelenk im Bein'
KINN,'unter dem Mund'
KRANK,'nicht gesund'
KRANKHEIT,'Zustand ohne Gesundheit'
KOPFSCHMERZ,'unangenehmes Kopfgefuehl'
KRANKENKASSE,'bezahlt den Arzt'
KRANKENWAGEN,'Auto fuer Notfaelle'
MUSKEL,'sorgt fuer Bewegung'
MEDIKAMENT,'Mittel gegen Krankheit'
NERVEN,'Reizleiter im Koerper'
PRAXIS,'Arbeitsort vom Arzt'
REZEPT,'Anweisung vom Arzt'
RUECKEN,'hinterer Rumpfteil'
RIPPEN,'Knochen am Brustkorb'
SALBE,'Creme fuer Haut'
STEHEN,'auf Beinen sein'
SCHLUCK,'kleine Trinkmenge'
SCHWINDEL,'Gefuehl des Drehens'
SCHULTER,'verbindet Arm und Rumpf'
SCHWITZEN,'Wasser aus Haut lassen'
SCHWANGER,'erwartet ein Baby'
SCHNUPFEN,'laufende Nase'
TABLETTE,'kleines Medikament'
UNTERSUCHUNG,'medizinische Kontrolle'
VERLETZT,'mit einer Wunde'
VERBAND,'Stoff um Wunde'
VITAMINE,'wichtige Naehrstoffe'
ZAHN,'im Mund zum Kauen'
ZAEHNE,'Mehrzahl von Zahn'
ZAHNSCHMERZ,'unangenehmes Zahngefuehl'
WUNDE,'verletzte Hautstelle'
WEHTUN,'Schmerz verursachen'
LIEGEN,'horizontal ruhen'
FINGERNAEGEL,'Schutz auf Fingerspitze'
