KOHL,'gruenes Blattgemuese'
KORN,'Getreidesame'
SENF,'scharfe Wuerzpaste'
DURST,'Beduerfnis nach Fluessigkeit'
HUNGER,'starkes Essensverlangen'
SATT,'nicht mehr hungrig'
HEISS,'mit hoher Temperatur'
WURST,'Fleischerzeugnis in Huelle'
ZWIEBEL,'scharfes Knollengemuese'
GURKE,'laengliches gruenes Gemuese'
NUDELN,'italienische Teigwaren'
DURSTIG,'Fluessigkeit benoetigend'
HUNGRIG,'Nahrung verlangend'
LECKER,'geschmacklich sehr gut'
JOGHURT,'gesaeuertes Milchprodukt'
RUEHREN,'kreisfoermig bewegen'
MISCHEN,'Zutaten vereinigen'
SERVIEREN,'Speisen auftragen'
PFEFFER,'scharfes Gewuerzpulver'
ZUTAT,'Bestandteil einer Speise'
ESSIG,'saure Wuerzfluessigkeit'
HONIG,'suesser Bienensaft'
MARMELADE,'Fruchtaufstrich mit Zucker'
SPEISEKARTE,'Liste der Gerichte'
KELLNER,'beruflicher Bediener'
BACKOFEN,'Geraet fuer Backwaren'
HAUPTGERICHT,'zentrale Mahlzeit'
VORSPEISE,'Mahlzeiteneinleitung'
GETRAENK,'trinkbare Fluessigkeit'
MAHLZEIT,'geplantes Essen'
SPIEGELEI,'in Pfanne gebratenes Ei'
ORANGENSAFT,'gepresstes Zitrusgetraenk'
APFELSAFT,'Getraenk aus Kernobst'
MINERALWASSER,'Wasser aus Quelle'
BRATWURST,'Wurst zum Braten'
BROETCHEN,'kleines rundes Brot'
EISCREME,'gefrorene Suessspeise'
FRUEHSTUECKEN,'morgens speisen'
ABENDBROT,'abendliche Kaltmahlzeit'
BRATKARTOFFEL,'gebratene Erdapfelscheibe'
