GAS,'Stoff wie Luft'
POL,'Endpunkt einer Achse'
ERDE,'unser blauer Planet'
KOPF,'Sitz des Gehirns'
LAND,'fester Erdboden'
NORD,'Richtung zum Pol'
OST,'Richtung des Sonnenaufgangs'
SAND,'kleine Steinkörner'
STEIN,'hartes Erdmaterial'
SUED,'Gegenteil von Nord'
WEST,'Richtung des Sonnenuntergangs'
KERN,'zentraler Teil'
PLUS,'Zeichen für Addition'
GRAD,'Einheit für Temperatur'
FORM,'äußere Gestalt'
HIMMEL,'Raum über uns'
HITZE,'sehr hohe Temperatur'
KREIS,'runde geschlossene Linie'
MITTE,'zentraler Punkt'
NATUR,'Pflanzen und Tiere'
SCHNEE,'gefrorene Wasserflocken'
WETTER,'Zustand der Luft'
PLANET,'Wanderer am Sternenhimmel'
RAKETE,'Fahrzeug zum Weltraum'
SYSTEM,'Ordnung mit Regeln'
ATOM,'kleinstes Teilchen'
ENERGIE,'Fähigkeit zur Arbeit'
FORMEL,'kurze wissenschaftliche Regel'
GEHIRN,'Denkorgan im Kopf'
KRAFT,'Ursache für Bewegung'
MASSE,'Maß für Materie'
MOTOR,'antreibende Maschine'
NUMMER,'Zahl für etwas'
PHYSIK,'Wissenschaft der Natur'
CHEMIE,'Lehre von Stoffen'
STROM,'fließende Energie'
STUDIE,'wissenschaftliche Untersuchung'
VERSUCH,'geplante Probe'
FALLEN,'sich nach unten bewegen'
MESSEN,'Größe bestimmen'
COMPUTER,'rechnende Maschine'
BIOLOGIE,'Lehre vom Leben'
PLANETEN,'Welten um eine Sonne'
RESULTAT,'Ergebnis eines Versuchs'
WERKZEUG,'Gegenstand zum Arbeiten'
MASCHINE,'mechanisches Gerät'
FUNKTION,'bestimmte Aufgabe'
REAKTION,'Antwort auf einen Reiz'
WELTRAUM,'leerer Raum zwischen Sternen'
WACHSTUM,'Prozess des Größerwerdens'
TELESKOP,'Gerät für Sternenbeobachtung'
ASTRONAUT,'Person im Weltall'
FORSCHUNG,'Suche nach neuem Wissen'
ENTDECKEN,'etwas Neues finden'
KONTROLLE,'genaues Nachsehen'
LICHTJAHR,'Entfernung im All'
MIKROSKOP,'Gerät für Kleinstes'
UNIVERSUM,'aller Raum und Zeit'
ELEKTRISCH,'mit Strom betrieben'
EXPERIMENT,'geplanter wissenschaftlicher Versuch'
INSTRUMENT,'Hilfsmittel für Messung'
VERBINDUNG,'Beziehung zwischen Dingen'
SAUERSTOFF,'wichtiges Atemgas'
STERNEBILD,'Gruppe von Sternen'
ASTRONOMIE,'Wissenschaft der Sterne'
NACHTHIMMEL,'Himmel bei Dunkelheit'
SCHWERKRAFT,'anziehende Erdkraft'
WASSERSTOFF,'leichtestes Element'
ENTWICKLUNG,'schrittweise Veränderung'
WISSENSCHAFT,'organisiertes Wissen'
