RAU,'nicht glatt anfühlend'
SINN,'eine von fünf Wahrnehmungen'
KLAR,'deutlich zu sehen'
BLIND,'ohne Sehvermögen'
TRAUM,'nächtliches Erlebnis'
GLAUBE,'feste Überzeugung'
SCHAUEN,'bewusst hinsehen'
KLINGEN,'einen Ton erzeugen'
STILLE,'Abwesenheit von Geräusch'
GEDANKE,'Ergebnis des Denkens'
GEFUEHL,'innere Empfindung'
GERAESCH,'ungeordneter Klang'
ERINNERN,'Gedanken zurückholen'
VERGESSEN,'Informationen verlieren'
ANFASSEN,'mit Hand berühren'
ZUHOEREN,'aufmerksam lauschen'
ANSEHEN,'länger betrachten'
LAECHELN,'Mundwinkel heben'
DEUTLICH,'klar verständlich'
ERFAHRUNG,'gesammeltes Wissen'
ERSCHRECKEN,'plötzlich Angst bekommen'
NEUGIERIG,'alles wissen wollend'
UEBERLEGEN,'intensiv nachdenken'
